param#0 	 param#1 	 param#2 	 dist 	  wgt 
4.889236 	0.210765 	5.215866 	0.567156 	0.050333 	
11.991603 	0.147255 	5.226838 	0.557881 	0.000000 	
3.233032 	0.191526 	5.151136 	0.554047 	0.025214 	
5.004517 	0.034451 	5.203956 	0.564748 	0.032993 	
5.414052 	0.315921 	5.159956 	0.568707 	0.024824 	
5.680510 	0.148979 	5.197304 	0.561490 	0.029456 	
2.827566 	0.042408 	5.137789 	0.526406 	0.032861 	
5.385390 	0.262223 	5.222639 	0.569716 	0.142029 	
3.682861 	0.001244 	5.167335 	0.543122 	0.000000 	
6.233495 	0.243872 	5.243331 	0.567804 	0.347215 	
8.549813 	0.761681 	5.094258 	0.571601 	0.028245 	
6.750463 	0.759652 	5.116396 	0.547382 	0.018968 	
1.582252 	0.280593 	5.103957 	0.559153 	0.033506 	
3.839902 	0.090438 	5.165348 	0.555845 	0.038357 	
5.340488 	0.159575 	5.127755 	0.549296 	0.020496 	
4.069328 	0.780867 	5.148390 	0.546384 	0.024982 	
6.035547 	0.054518 	5.119695 	0.544483 	0.022902 	
5.716493 	0.235202 	5.176163 	0.556284 	0.035816 	
-2.259779 	-0.045469 	5.216512 	-1.000000 	0.000000 	
-3.671378 	-0.168395 	5.249673 	-1.000000 	0.000000 	
2.861563 	0.225368 	5.154079 	0.545346 	0.032704 	
7.151647 	0.211660 	5.186469 	0.562744 	0.050389 	
2.961000 	0.150991 	5.146349 	0.566775 	0.031147 	
6.150110 	0.371799 	5.141351 	0.571219 	0.018974 	
2.667341 	0.315786 	5.200095 	0.548115 	0.095183 	
7.427071 	0.215802 	5.163250 	0.568406 	0.032234 	
6.312175 	0.252210 	5.160652 	0.552610 	0.026853 	
4.524758 	0.320146 	5.101637 	0.551166 	0.021841 	
4.608873 	0.106000 	5.133471 	0.550352 	0.031683 	
4.211027 	0.119242 	5.147971 	0.565192 	0.038469 	
3.051340 	0.130307 	5.117357 	0.521772 	0.030992 	
2.711048 	0.043489 	5.038275 	0.510272 	0.022622 	
