param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.124202 	0.200386 	2.168179 	0.137370 	2.036400 	4.092353 	-0.177808 	0.161452 	2.312457 	0.000000 	
0.075744 	0.121989 	0.741040 	0.098353 	2.256470 	3.729780 	0.037733 	0.158143 	2.544367 	0.000000 	
0.074168 	0.048398 	1.052103 	0.116266 	1.403647 	3.652585 	0.074186 	-0.029678 	1.696171 	0.000000 	
0.102072 	0.079421 	2.255804 	0.148734 	1.388643 	2.950349 	0.182920 	-0.019161 	1.781851 	0.000000 	
0.129539 	0.149362 	1.165103 	0.073868 	1.388809 	3.203320 	0.176104 	0.149792 	2.890934 	0.000000 	
0.114836 	0.039531 	1.877876 	0.096767 	1.407934 	3.687387 	0.387681 	0.063202 	1.886376 	0.000000 	
0.085701 	0.195586 	1.762352 	0.101824 	1.211501 	2.661638 	0.223839 	-0.019030 	1.525058 	0.000000 	
0.114434 	0.091246 	1.554010 	0.119122 	1.184515 	3.022599 	0.190753 	-0.082893 	1.745555 	0.000000 	
0.090062 	0.091372 	0.725575 	0.093098 	1.004333 	2.246218 	0.038834 	0.064104 	2.187990 	0.000000 	
0.071675 	0.030379 	1.487374 	0.135693 	1.246227 	4.183762 	0.347687 	-0.061004 	1.772784 	0.000000 	
0.082835 	0.034041 	1.401958 	0.101152 	1.436731 	4.009595 	0.310261 	0.004202 	1.541520 	0.022268 	
0.111974 	0.030499 	1.587555 	0.118036 	2.053278 	3.303030 	0.291148 	0.008561 	2.007925 	0.000000 	
0.145404 	0.078850 	1.913819 	0.094634 	0.808633 	3.017542 	0.311712 	0.079346 	1.747780 	0.000000 	
0.114854 	0.025029 	1.919031 	0.102762 	1.551952 	4.348502 	-0.096268 	0.129839 	2.959261 	0.000000 	
0.156053 	0.103115 	1.578144 	0.102490 	0.785304 	3.277200 	0.171685 	0.053809 	1.723519 	0.046540 	
