param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 dist 	  wgt 
0.537569 	9.470699 	25401.340211 	0.002793 	0.001089 	0.000001 	1.548922 	0.040079 	
0.736444 	1.999244 	26077.185356 	0.006352 	0.002865 	0.000004 	1.527158 	0.000000 	
0.709314 	6.258987 	23597.984196 	0.005982 	0.003858 	0.000011 	1.252419 	0.000000 	
1.753686 	0.019447 	24905.132290 	0.003445 	0.000266 	0.000009 	1.262929 	0.040686 	
1.279869 	6.645789 	24771.789868 	0.006061 	0.002499 	0.000006 	1.273025 	0.000000 	
2.085972 	5.967436 	22741.238279 	0.007077 	0.002691 	0.000012 	1.071738 	0.000000 	
1.700290 	1.925132 	22521.402153 	0.006467 	0.001160 	0.000006 	1.003403 	0.000000 	
2.962845 	11.758867 	27938.615286 	0.002202 	0.003344 	0.000007 	1.496268 	0.000000 	
1.766460 	3.682554 	28100.384448 	0.006415 	0.002789 	0.000008 	1.532562 	0.000000 	
1.161598 	5.599682 	28000.876347 	0.000396 	0.001232 	0.000005 	1.675831 	0.044672 	
1.038949 	3.763798 	25703.115560 	0.002839 	0.002826 	0.000003 	1.391953 	0.027931 	
1.394597 	8.628271 	21015.059689 	0.000759 	0.005830 	0.000003 	0.844401 	0.000000 	
1.108508 	-2.589889 	28733.997534 	0.002997 	0.001198 	0.000015 	1.886280 	0.000000 	
0.813815 	7.185227 	25725.185926 	0.002903 	0.001790 	0.000007 	1.426265 	0.030728 	
1.973244 	4.003041 	29342.051229 	0.005751 	0.005439 	0.000007 	1.798884 	0.000000 	
2.360975 	-1.886292 	30282.600920 	0.004429 	0.001602 	0.000000 	1.819283 	0.000000 	
2.549386 	9.070974 	27494.523890 	0.001129 	0.004362 	0.000009 	1.536679 	0.000000 	
1.827604 	7.424232 	27730.287082 	0.003358 	0.002696 	0.000003 	1.569121 	0.063423 	
0.752767 	-2.410968 	25454.663815 	0.003623 	0.002263 	0.000001 	1.448509 	0.000000 	
1.396184 	10.500613 	23017.142368 	0.004604 	0.000178 	0.000012 	1.052591 	0.000000 	
1.401371 	0.783295 	24314.761472 	0.004651 	0.004103 	0.000009 	1.325644 	0.029397 	
1.212100 	5.731588 	27115.303356 	0.007908 	0.002191 	0.000013 	1.555743 	0.000000 	
1.439105 	11.889307 	26714.553352 	0.002052 	0.003184 	0.000006 	1.521474 	0.000000 	
2.419820 	1.744357 	27099.781945 	0.003065 	0.005554 	0.000011 	1.552123 	0.000000 	
1.383849 	-4.060819 	27155.682205 	0.003954 	0.005950 	0.000006 	1.459543 	0.000000 	
2.232028 	16.627326 	26557.584816 	0.004405 	0.008622 	0.000003 	1.276778 	0.000000 	
1.158654 	5.933389 	26596.676658 	0.002918 	0.008065 	0.000002 	1.505532 	0.000000 	
2.662039 	4.907811 	28629.813513 	0.005190 	0.002938 	0.000002 	1.595066 	0.000000 	
2.061308 	20.333852 	26040.161350 	0.002024 	0.003795 	0.000005 	1.347995 	0.000000 	
1.129550 	8.090340 	23970.837885 	0.002454 	0.004035 	0.000005 	1.219307 	0.021402 	
1.884714 	3.811540 	26844.491303 	0.000988 	0.001794 	0.000004 	1.430975 	0.053178 	
1.533860 	5.567809 	27661.160064 	0.002339 	0.005007 	0.000012 	1.525925 	0.000000 	
1.206601 	-2.287354 	26476.211821 	0.003399 	0.000363 	0.000002 	1.475855 	0.000000 	
