param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 dist 	  wgt 
0.175527 	1.091478 	1.512543 	1.544520 	0.021693 	0.018084 	0.001808 	0.004224 	0.450148 	1.012159 	0.000000 	
0.173866 	0.832631 	1.016876 	0.404797 	0.089142 	0.024122 	-0.002567 	0.007926 	0.311769 	0.555039 	0.000000 	
0.150940 	1.011575 	0.541915 	1.112899 	0.070854 	0.018138 	0.000428 	-0.001727 	0.348148 	1.085068 	0.000000 	
0.230116 	0.999860 	1.200344 	1.646839 	0.006974 	0.015698 	0.001720 	0.000982 	0.430035 	1.169081 	0.000000 	
0.241022 	0.851941 	1.281243 	-0.076818 	-0.002341 	0.026196 	0.006075 	0.007148 	0.485653 	2.196022 	0.000000 	
0.259741 	1.054802 	1.989455 	0.770864 	0.056388 	0.024095 	0.008741 	0.000895 	0.403111 	0.791887 	0.000000 	
0.164075 	1.166563 	1.728250 	0.111519 	0.079709 	0.019310 	0.006859 	0.002192 	0.204148 	0.565974 	0.000000 	
0.182204 	1.244805 	0.559265 	1.247204 	-0.045476 	0.014068 	0.002538 	0.003383 	0.324339 	2.671994 	0.000000 	
0.180258 	0.880084 	1.079603 	1.069683 	-0.013528 	0.021734 	0.007765 	0.007093 	0.384597 	0.811626 	0.000000 	
0.322645 	1.115621 	1.523561 	0.475167 	-0.025032 	0.014840 	0.008871 	0.008068 	0.197808 	0.835899 	0.000000 	
0.188180 	1.014037 	2.044344 	1.359548 	-0.030114 	0.020975 	0.001391 	0.007475 	0.596325 	0.920091 	0.000000 	
0.176335 	1.155199 	0.406705 	0.393992 	-0.009784 	0.024397 	0.002806 	-0.000122 	0.268597 	1.240605 	0.000000 	
0.224074 	0.966714 	1.755080 	0.142045 	0.045499 	0.025084 	0.008510 	0.014762 	0.380841 	0.719657 	0.000000 	
0.236621 	0.901782 	1.670423 	1.553191 	0.000861 	0.021719 	0.001753 	0.010578 	0.448092 	0.950675 	0.000000 	
0.175888 	1.077405 	1.472311 	1.221258 	0.092093 	0.021602 	0.013575 	-0.000035 	0.273095 	0.858150 	0.000000 	
0.183542 	0.975289 	1.234771 	0.748076 	0.024039 	0.017781 	-0.000246 	0.004091 	0.352757 	0.740554 	0.000000 	
0.200259 	1.069720 	1.660829 	0.257265 	-0.000912 	0.027670 	0.002833 	0.007216 	0.464671 	0.790727 	0.000000 	
0.167316 	0.877455 	1.005923 	0.912554 	0.040970 	0.021968 	-0.001836 	0.009692 	0.352081 	0.724739 	0.000000 	
0.089071 	0.865890 	2.402136 	0.599405 	0.071938 	0.012785 	-0.003088 	0.008191 	0.452238 	0.712789 	0.000000 	
0.161071 	0.903818 	1.158330 	1.579674 	0.062139 	0.028191 	-0.000092 	0.005847 	0.494209 	0.864463 	0.000000 	
0.196063 	0.887989 	1.871512 	0.233362 	0.073475 	0.017724 	0.014097 	0.006401 	0.431142 	0.622518 	0.000000 	
0.291600 	0.996319 	1.925897 	0.619874 	0.140022 	0.024547 	0.006092 	0.013546 	0.530690 	0.963199 	0.000000 	
